id,articleType,baseColour,season,usage,productDisplayName,image,masterCategory,gender,subCategory
10,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/bf2a4f36c9cc6b2fb51c5e7bad341681_images.jpg,Accessories,Women,Bags
11,Handbags,Blue,Summer,Casual,Baggit Women Blue Bag,http://assets.myntassets.com/v1/images/style/properties/895bed5b7e643c97fb880515cea0c930_images.jpg,Accessories,Women,Bags
12,Handbags,Brown,Winter,Casual,Murcia Women Snake Print Bag Brown Handbags,http://assets.myntassets.com/v1/images/style/properties/b11805dfd1077ea3a4538fba3ffed149_images.jpg,Accessories,Women,Bags
13,Handbags,Beige,Fall,Casual,Baggit Women Beige Bag,http://assets.myntassets.com/v1/images/style/properties/1041605c3decc95ef96c970da17ad051_images.jpg,Accessories,Women,Bags
14,Handbags,White,Winter,Casual,Murcia Women White With Stitch Bag,http://assets.myntassets.com/v1/images/style/properties/61d4d060e05c3e4ff1771c5e724d6c16_images.jpg,Accessories,Women,Bags
15,Handbags,Brown,Winter,Casual,Baggit Women Umbrella Dum Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/3c67058064553299e3cb62b79fedd1af_images.jpg,Accessories,Women,Bags
16,Handbags,Orange,Winter,Casual,Lino Perros Women Leatherite Orange Handbag,http://assets.myntassets.com/v1/images/style/properties/460dd2adbff063cc226b7146a811e7dc_images.jpg,Accessories,Women,Bags
17,Handbags,Black,Summer,Casual,Fabindia Women Black Silk Handbag,http://assets.myntassets.com/v1/images/style/properties/f2be61ffbdcd20d97ef6aac78a1c3f58_images.jpg,Accessories,Women,Bags
18,Handbags,Multi,Summer,Casual,French Connection Women Multi Stripe Hand Bag,http://assets.myntassets.com/v1/images/style/properties/79bf6743e22d6c1a225540a4ab1731a6_images.jpg,Accessories,Women,Bags
19,Handbags,Brown,Summer,Casual,Kiara Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/KIARA-Women-Brown-Handbag_98bb55cffd970f479b59b9e16d0713b6_images.jpg,Accessories,Women,Bags
20,Handbags,Brown,Winter,Casual,Lino Perros Women Leatherite Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/dabc32d2b3e99f80ef908374f84d161c_images.jpg,Accessories,Women,Bags
21,Handbags,Copper,Winter,Casual,Kiara Women Sequins Copper Handbag,http://assets.myntassets.com/v1/images/style/properties/348a1c79e91c3c74047eecd5dd374957_images.jpg,Accessories,Women,Bags
22,Handbags,Black,Summer,Casual,Spice Art Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/Spice-Art-Women-Black-Handbag_2bf4728580599984a2a555db977b9e35_images.jpg,Accessories,Women,Bags
23,Handbags,Beige,Summer,Casual,Rocky S Women Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-Beige-Handbag_cf13243aa8a7454917b557edd377d46e_images.jpg,Accessories,Women,Bags
24,Handbags,Blue,Winter,Casual,Murcia Women Turquoise Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/f71789410ce672f1c9c1be939ecd9f7e_images.jpg,Accessories,Women,Bags
25,Handbags,Black,Winter,Casual,Baggit Women Selection Mayur Black Sling Bag,http://assets.myntassets.com/v1/images/style/properties/9598b35f6e2de51542d2c2ef9110f86b_images.jpg,Accessories,Women,Bags
26,Handbags,Black,Summer,Casual,Mod'acc Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/Modacc-Women-Black-Handbag_bc90660f883df700267dfac2d919b455_images.jpg,Accessories,Women,Bags
27,Handbags,Teal,Winter,Casual,Baggit Women Rade Doko Teal Handbag,http://assets.myntassets.com/v1/images/style/properties/80ffbb3edcd94ef2b348c5e53dc29621_images.jpg,Accessories,Women,Bags
28,Handbags,Green,Summer,Casual,Baggit Women Green Handbag,http://assets.myntassets.com/v1/images/style/properties/83e6f0f11f87f208f15e833fede48f5c_images.jpg,Accessories,Women,Bags
29,Handbags,Black,Summer,Casual,Baggit Women Black Voodoo Gang Handbag,http://assets.myntassets.com/v1/images/style/properties/967bf381f8fa631bae7830f11c6f3aaa_images.jpg,Accessories,Women,Bags
30,Handbags,Purple,Summer,Casual,Pitaraa Women Purple Sling Bag,http://assets.myntassets.com/v1/images/style/properties/4082c1426acb0becf0a683c7632bdefb_images.jpg,Accessories,Women,Bags
31,Handbags,Brown,Winter,Casual,Murcia Women Hahk Brown Handbags,http://assets.myntassets.com/v1/images/style/properties/65b6116e73b95222a12a01d5460b0e85_images.jpg,Accessories,Women,Bags
32,Handbags,Pink,Summer,Casual,ADIDAS Women Pink Handbag,http://assets.myntassets.com/v1/images/style/properties/ff765bacfb935d26ebd72c44547cde93_images.jpg,Accessories,Women,Bags
33,Handbags,Green,Summer,Casual,Fabindia Women Green Sling Bag,http://assets.myntassets.com/v1/images/style/properties/d5aff6e7c302aeb65ba08ec3f4a81040_images.jpg,Accessories,Women,Bags
34,Handbags,Black,Winter,Casual,Fastrack Women Nylon Black Handbag,http://assets.myntassets.com/v1/images/style/properties/0d5b2f896f80fc803118b823fe79d1c7_images.jpg,Accessories,Women,Bags
35,Handbags,Black,Winter,Casual,Murcia Women Casual Black Handbag,http://assets.myntassets.com/v1/images/style/properties/618749890e73cc6094d688ec6fa17287_images.jpg,Accessories,Women,Bags
36,Handbags,Brown,Summer,Casual,Baggit Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Baggit-Women-Brown-Bag_6b49e42c5b0c732f17bf454a6ed25a78_images.jpg,Accessories,Women,Bags
37,Handbags,Silver,Winter,Casual,Murcia Women Silver Black Purse Silver Handbags,http://assets.myntassets.com/v1/images/style/properties/d09964022188d673f03b5b115c9e47b6_images.jpg,Accessories,Women,Bags
38,Handbags,Purple,Summer,Casual,French Connection Women Purple Handbag,http://assets.myntassets.com/v1/images/style/properties/65e0186e6f5cc9c636f5a724461328e5_images.jpg,Accessories,Women,Bags
39,Handbags,Brown,Summer,Casual,Kiara Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/KIARA-Women-Brown-Handbag_7ea76a5eb5e306eb2139fc4eeb1dd572_images.jpg,Accessories,Women,Bags
40,Handbags,Beige,Winter,Casual,Lino Perros Women Solid Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/24297ac545ea122a3c333be495b7b5cd_images.jpg,Accessories,Women,Bags
41,Handbags,Blue,Summer,Casual,Rocky S Women Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-Navy-Blue-Handbag_4cf929ebebb81d77fd9698020b8a2cc5_images.jpg,Accessories,Women,Bags
42,Handbags,Red,Winter,Casual,Lino Perros Women Red and Grey Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Red-and-Grey-Handbagf5ea0760a0dbbb9a5e17c24aeacf70ba_images.jpg,Accessories,Women,Bags
43,Handbags,Brown,Winter,Casual,Lino Perros Women Leatherite Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Leatherite-Brown-Handbag73bdaddb7f8433001c35385c2237060f_images.jpg,Accessories,Women,Bags
44,Handbags,Pink,Winter,Casual,Kiara Women Rose Pink Handbag,http://assets.myntassets.com/v1/images/style/properties/445fcfca58cd02edab12ea78d4e561fd_images.jpg,Accessories,Women,Bags
45,Handbags,Pink,Summer,Casual,Nike Women Track Tote Pink Handbag,http://assets.myntassets.com/v1/images/style/properties/1d117c32ce16f74151bf640edf53c3c0_images.jpg,Accessories,Women,Bags
46,Handbags,Blue,Summer,Casual,Baggit Women Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/f12c94e4ccc36263021e9ebe89b691da_images.jpg,Accessories,Women,Bags
47,Handbags,Beige,Summer,Casual,Kiara Women Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/KIARA-Women-Beige-Handbag_635b5cb6ad92a12ee09cfb5ea655a90e_images.jpg,Accessories,Women,Bags
48,Handbags,White,Winter,Casual,Kiara Women Glossy White Handbag,http://assets.myntassets.com/v1/images/style/properties/43188ad016f5bf2f772e6a064fd6b977_images.jpg,Accessories,Women,Bags
49,Handbags,Brown,Winter,Casual,Lino Perros Women Solid Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Solid-Brown-Handbag8315dfefd4ac9ed0b34395a7db70bf4c_images.jpg,Accessories,Women,Bags
50,Handbags,Black,Winter,Casual,Murcia Women Casual Black Handbag,http://assets.myntassets.com/v1/images/style/properties/1c1806e44f9c75fe298ab558454ba15f_images.jpg,Accessories,Women,Bags
51,Handbags,Green,Summer,Casual,Pitaraa Women Green Sling Bag,http://assets.myntassets.com/v1/images/style/properties/64b866424f432cf5ba94f6f2ff303b58_images.jpg,Accessories,Women,Bags
52,Handbags,Orange,Summer,Casual,Mod'acc Women Orange Handbag,http://assets.myntassets.com/v1/images/style/properties/Modacc-Women-Orange-Handbag_08b9024f592461ba9720d7bf186d2dda_images.jpg,Accessories,Women,Bags
53,Handbags,Black,Summer,Casual,French Connection Women Black Sling Bag,http://assets.myntassets.com/v1/images/style/properties/23d345b573b95f6cd311d09ac3fdb462_images.jpg,Accessories,Women,Bags
54,Handbags,Black,Winter,Casual,Murcia Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/4bbe64181a603cefff41da1aac00b64b_images.jpg,Accessories,Women,Bags
55,Handbags,Blue,Summer,Casual,ADIDAS Women Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/8d897f6fb9ede728e7a77a4648279f80_images.jpg,Accessories,Women,Bags
56,Handbags,Green,Summer,Casual,Baggit Women Green Bag,http://assets.myntassets.com/v1/images/style/properties/afe68580c20b809ebd1486c5e2c9c226_images.jpg,Accessories,Women,Bags
57,Handbags,Grey,Fall,Casual,Murcia Women Grey Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Charcoal-Handbag_b76ee8cae7f754555028890e782c900e_images.jpg,Accessories,Women,Bags
58,Handbags,Brown,Winter,Casual,Lino Perros Women Leatherette Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Leatherette-Brown-Handbag912ae28600f365c85b9f8bcae0a0af87_images.jpg,Accessories,Women,Bags
59,Handbags,Red,Winter,Casual,Kiara Women Glossy Red Handbag,http://assets.myntassets.com/v1/images/style/properties/d1e32f6091a54eac3da0653d10129f54_images.jpg,Accessories,Women,Bags
60,Handbags,Brown,Winter,Casual,Lino Perros Women Leatherite Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/3e25bc8d2d3583e304cf2803e13c1142_images.jpg,Accessories,Women,Bags
61,Handbags,Blue,Summer,Casual,Be For Bag Women Blue Tote Bag,http://assets.myntassets.com/v1/images/style/properties/e7181e557cce35621c81d6c5f431eb8e_images.jpg,Accessories,Women,Bags
62,Handbags,Silver,Summer,Casual,Murcia Women Jute Silver Handbag,http://assets.myntassets.com/v1/images/style/properties/43a5e5e7426d4b269073818a9dcb5823_images.jpg,Accessories,Women,Bags
63,Handbags,Purple,Winter,Casual,Murcia Women Purple Handbag,http://assets.myntassets.com/v1/images/style/properties/98d6aacf334cc63632caad92dc4d9ee0_images.jpg,Accessories,Women,Bags
64,Handbags,Pink,Winter,Casual,Murcia Women Pink Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Pink-Handbag97ef396812d4243422f3ba3eb22404f4_images.jpg,Accessories,Women,Bags
65,Handbags,Brown,Summer,Casual,Murcia Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Rust-Orange-Handbag_781c0f4a067e69ac7ff7288963657622_images.jpg,Accessories,Women,Bags
66,Handbags,Pink,Winter,Casual,Murcia Women Big Canvas Tote Bag,http://assets.myntassets.com/v1/images/style/properties/0291b1572c759c53ee26582071787791_images.jpg,Accessories,Women,Bags
67,Handbags,Black,Winter,Casual,Spice Art Women Leatherette  Black Handbags,http://assets.myntassets.com/v1/images/style/properties/58c17ea24926a8cd2d523a005c549e9b_images.jpg,Accessories,Women,Bags
68,Handbags,Purple,Summer,Casual,Mod-acc Women Purple Handbag,http://assets.myntassets.com/v1/images/style/properties/Mod-acc-Women-Purple-Handbag_5659c1cc7d9938623fb3f0863965ddc5_images.jpg,Accessories,Women,Bags
69,Handbags,Blue,Summer,Casual,Baggit Women Modishx Enzyme Blue Sling Bag,http://assets.myntassets.com/v1/images/style/properties/0f7ff70319f7cca8fd4139f322afdbda_images.jpg,Accessories,Women,Bags
70,Handbags,Red,Summer,Casual,Murcia Women Red Handbag,http://assets.myntassets.com/v1/images/style/properties/0dad884897e3f1d63c49416479eb69a0_images.jpg,Accessories,Women,Bags
71,Handbags,Olive,Summer,Casual,Lino Perros Women Olive Handbag,http://assets.myntassets.com/v1/images/style/properties/6a8dffc681c9af0e629d5485f77999a5_images.jpg,Accessories,Women,Bags
72,Handbags,Blue,Summer,Casual,Lino Perros Women Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/7fa71a63d22b4f78599cfbfd9361ee84_images.jpg,Accessories,Women,Bags
73,Handbags,Brown,Winter,Casual,Spice Art Women Spacious Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/ad8355f067a1eda0372da36c8dabcc31_images.jpg,Accessories,Women,Bags
74,Handbags,Blue,Summer,Casual,United Colors of Benetton Women Blue Sling Bag,http://assets.myntassets.com/v1/images/style/properties/807db6823952f20d542a75afda81ed53_images.jpg,Accessories,Women,Bags
75,Handbags,Olive,Fall,Casual,Baggit Women Olive Green Handbag,http://assets.myntassets.com/v1/images/style/properties/Baggit-Women-Olive-Green-Handbag_34d7396beb144fd9b9dbc06b9caa498e_images.jpg,Accessories,Women,Bags
76,Handbags,Brown,Summer,Casual,Murcia Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/a02cf8001189970e0c9ed1d676dd0b06_images.jpg,Accessories,Women,Bags
77,Handbags,Purple,Fall,Casual,Nike Women Casual Purple Handbag,http://assets.myntassets.com/v1/images/style/properties/ac7d66b7cec8791c935381e65a202aed_images.jpg,Accessories,Women,Bags
78,Handbags,Green,Summer,Casual,Murcia Women Envelope Green Handbag,http://assets.myntassets.com/v1/images/style/properties/061ccf4d8d4d285cf90cb8ece28aa6bb_images.jpg,Accessories,Women,Bags
79,Handbags,Orange,Summer,Casual,Baggit Women Orange Sling Bag,http://assets.myntassets.com/v1/images/style/properties/0d20f9ea05b1796af254769f08ee0b37_images.jpg,Accessories,Women,Bags
80,Handbags,Black,Winter,Casual,Murcia Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/5210f474af6dc324c272e72af6a8a76a_images.jpg,Accessories,Women,Bags
81,Handbags,Black,Summer,Casual,Lino Perros Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/e6ba0d98c9d9bbc7418552a3e04d80cf_images.jpg,Accessories,Women,Bags
82,Handbags,Green,Winter,Casual,Fossil Women Green Handbag,http://assets.myntassets.com/v1/images/style/properties/f15c590c4c8d4b3b0e478847ee7899e5_images.jpg,Accessories,Women,Bags
83,Handbags,Orange,Summer,Casual,Paridhan Women Orange Printed Handbag,http://assets.myntassets.com/v1/images/style/properties/6dc842f3a16e11bd9ca4f60c4873c9fc_images.jpg,Accessories,Women,Bags
84,Handbags,White,Summer,Casual,Be For Bag Women Pink Bag,http://assets.myntassets.com/v1/images/style/properties/Be-For-Bag-Women-Pink-Bag_32be09da738bae6a3c1d55fa74bcd9f0_images.jpg,Accessories,Women,Bags
85,Handbags,Beige,Winter,Casual,Lino Perros Women Casual Handbag,http://assets.myntassets.com/v1/images/style/properties/20071e8478d349f28bde7685d91feb84_images.jpg,Accessories,Women,Bags
86,Handbags,Brown,Summer,Casual,United Colors of Benetton Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/bad05e99069f3152753a630015f8bc1d_images.jpg,Accessories,Women,Bags
87,Handbags,White,Winter,Casual,Spice Art Women Double Handle Shimmer Handbags,http://assets.myntassets.com/v1/images/style/properties/e98061eac76cc38771dd8986d0422352_images.jpg,Accessories,Women,Bags
88,Handbags,Green,Summer,Casual,Kiara Women Leatherette Light Green Handbag,http://assets.myntassets.com/v1/images/style/properties/157acd553ac1594b65e8308d985c364f_images.jpg,Accessories,Women,Bags
89,Handbags,Navy Blue,Winter,Casual,Baggit Women Galaxy Exel Navy Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/89feaac7389339e1d0bc78d5a5379172_images.jpg,Accessories,Women,Bags
90,Handbags,Purple,Summer,Casual,Nike Women Nike Purple Tote Purple Bags,http://assets.myntassets.com/v1/images/style/properties/3b606eecd50aa1307415e9b2b26af80d_images.jpg,Accessories,Women,Bags
91,Handbags,Pink,Summer,Casual,Lino Perros Women Pink Handbag,http://assets.myntassets.com/v1/images/style/properties/36ebf714854d0509d15c881e2bccc4f1_images.jpg,Accessories,Women,Bags
92,Handbags,Black,Winter,Casual,Lino Perros Black Women Casual Sling Bag,http://assets.myntassets.com/v1/images/style/properties/1b04d776cc24c2f7c39fda330774ce91_images.jpg,Accessories,Women,Bags
93,Handbags,Green,Summer,Casual,Baggit Women Green Handbag,http://assets.myntassets.com/v1/images/style/properties/8054cd27c0e8b8830df7659d40501ea4_images.jpg,Accessories,Women,Bags
94,Handbags,Brown,Summer,Casual,Lino Perros Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Brown-Handbag_14006277bd404074924c0c048165d3cf_images.jpg,Accessories,Women,Bags
95,Handbags,Black,Summer,Casual,Allen Solly Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/Allen-Solly-Woman-Black-Handbag_6c859bd4fb5a778e0783a6cb9ec1f474_images.jpg,Accessories,Women,Bags
96,Handbags,Maroon,Winter,Casual,Baggit Women Knotty Taj Maroon Handbag,http://assets.myntassets.com/v1/images/style/properties/1ca821a0a4ee9bfa30b0995fe8d1dc78_images.jpg,Accessories,Women,Bags
97,Handbags,Black,Winter,Casual,Kiara Women Small Pocket Black Handbag,http://assets.myntassets.com/v1/images/style/properties/a67b7cbe909ff888ce49009ea8f00cda_images.jpg,Accessories,Women,Bags
98,Handbags,Purple,Winter,Casual,Murcia Women Hahk Purple Handbags,http://assets.myntassets.com/v1/images/style/properties/db58e608dad2c712e97b28c879670c51_images.jpg,Accessories,Women,Bags
99,Handbags,Brown,Winter,Casual,Fossil Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/e8d2cef685cbea11fdc27e1b9d3c59a8_images.jpg,Accessories,Women,Bags
100,Handbags,Black,Summer,Casual,United Colors of Benetton Women Solid Black Handbags,http://assets.myntassets.com/v1/images/style/properties/c169a640c55a80e6cbb47715731ee529_images.jpg,Accessories,Women,Bags
101,Handbags,Teal,Fall,Casual,Baggit Women Naughty Lips Teal Handbag,http://assets.myntassets.com/v1/images/style/properties/331a0cf4f78ef57aab8d3ff662be89f4_images.jpg,Accessories,Women,Bags
102,Handbags,White,Summer,Casual,Kiara Women White Handbag,http://assets.myntassets.com/v1/images/style/properties/KIARA-Women-White-Handbag_f59648853340417be9bc1a5dd8e9927b_images.jpg,Accessories,Women,Bags
103,Handbags,Red,Summer,Casual,Murcia Women Office Red Handbag,http://assets.myntassets.com/v1/images/style/properties/7dc0234840ee5815c356482a1b5384d3_images.jpg,Accessories,Women,Bags
104,Handbags,Teal,Summer,Casual,Baggit Women Teal Selection Jack Sling Bag,http://assets.myntassets.com/v1/images/style/properties/855c830abb2b20a683e46f5d7005b170_images.jpg,Accessories,Women,Bags
105,Handbags,Multi,Summer,Casual,Envirosax Women Multi Coloured Bag,http://assets.myntassets.com/v1/images/style/properties/a879c352f4f0dd08521188ee8b70ef49_images.jpg,Accessories,Women,Bags
106,Handbags,White,Summer,Casual,Be For Bag Women Combo pack Tote Bags,http://assets.myntassets.com/v1/images/style/properties/aeb4dd25028a722a132760460d14e00e_images.jpg,Accessories,Women,Bags
107,Handbags,Black,Summer,Casual,Lino Perros Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/9a4b72f5ddbed9ce726c70eecd65a2e4_images.jpg,Accessories,Women,Bags
108,Handbags,Green,Summer,Casual,Kiara Women Leatherette Green Handbag,http://assets.myntassets.com/v1/images/style/properties/b8cb148b12aedeff710cc57795822332_images.jpg,Accessories,Women,Bags
109,Handbags,Black,Summer,Casual,Murcia Women Office Black Handbag,http://assets.myntassets.com/v1/images/style/properties/2ca67c135536c57de130f97e5bdfb1d1_images.jpg,Accessories,Women,Bags
110,Handbags,Blue,Winter,Casual,Kiara Women Small Pocket Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/526ed0e9a1210a4a056dbaea8098a449_images.jpg,Accessories,Women,Bags
111,Handbags,Red,Winter,Casual,Murcia Women Hahk Red Handbags,http://assets.myntassets.com/v1/images/style/properties/e0d679d95c506d75ebafbe5a5f691c66_images.jpg,Accessories,Women,Bags
112,Handbags,Black,Winter,Casual,Murcia Women Sleek Black Leatherette Hand Bag,http://assets.myntassets.com/v1/images/style/properties/b1374b95d0a243c09725aba9251ac802_images.jpg,Accessories,Women,Bags
113,Handbags,Brown,Winter,Casual,Lino Perros Brown Women Casual Sling Bag,http://assets.myntassets.com/v1/images/style/properties/2b20f321f9c6548a310436cef93fbb95_images.jpg,Accessories,Women,Bags
114,Handbags,Yellow,Fall,Casual,Tortoise Women Yellow Sling Bag,http://assets.myntassets.com/v1/images/style/properties/Tortoise-Women-Yellow-Handbag_344de3929887f154310dcc61ac05c232_images.jpg,Accessories,Women,Bags
115,Handbags,Grey,Summer,Casual,United Colors of Benetton Women Grey Bag,http://assets.myntassets.com/v1/images/style/properties/b7dd0774f8d0a39b2933c7edbc007f62_images.jpg,Accessories,Women,Bags
116,Handbags,Brown,Summer,Casual,Lino Perros Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/9c9c0ef5ae6ed03a0b0f49a7ee738cbc_images.jpg,Accessories,Women,Bags
117,Handbags,Pink,Summer,Casual,Paridhan Women Pink Handbag,http://assets.myntassets.com/v1/images/style/properties/f19cf52c06b22027fddd534cdf5a0df0_images.jpg,Accessories,Women,Bags
118,Handbags,Black,Summer,Casual,Puma Women Black Bag,http://assets.myntassets.com/v1/images/style/properties/78cc6710b5e48c6542eb7cfc7fb11929_images.jpg,Accessories,Women,Bags
119,Handbags,Orange,Summer,Casual,Baggit Women Orange Tinki Tower Sling Bag,http://assets.myntassets.com/v1/images/style/properties/bf2755da6995a42ddc1a2d7793be6ed9_images.jpg,Accessories,Women,Bags
120,Handbags,Grey,Summer,Casual,Nike Women Nike Grey handbag Grey Bags,http://assets.myntassets.com/v1/images/style/properties/0149366833bbb90c81cf936428201b47_images.jpg,Accessories,Women,Bags
121,Handbags,Brown,Winter,Casual,Murcia Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/008d48cc4edd8bd05ed6f6a8a0ccae66_images.jpg,Accessories,Women,Bags
122,Handbags,Brown,Winter,Casual,Fossil Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/ae3f548197c64e37fd4f0ba2099aa9c5_images.jpg,Accessories,Women,Bags
123,Handbags,Maroon,Summer,Casual,United Colors of Benetton Women Solid Maroon Handbags,http://assets.myntassets.com/v1/images/style/properties/f89eee5c3fb36400662b1a609a408ba0_images.jpg,Accessories,Women,Bags
124,Handbags,Black,Summer,Casual,Mod'acc Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/Modacc-Women-Black-Handbag_226a0d8a7491d68eebb43be8ff4dcef4_images.jpg,Accessories,Women,Bags
125,Handbags,Yellow,Winter,Casual,Murcia Women Yellow Handbag,http://assets.myntassets.com/v1/images/style/properties/12aa2c5e530d8572873aa7fdbae87033_images.jpg,Accessories,Women,Bags
126,Handbags,Brown,Summer,Casual,French Connection Women Brown Sling Bag,http://assets.myntassets.com/v1/images/style/properties/ac40a5a8efadc1e2e64dfb742591e3bc_images.jpg,Accessories,Women,Bags
127,Handbags,Black,Summer,Casual,ADIDAS Women Shoulder Black HandBag,http://assets.myntassets.com/v1/images/style/properties/0e0b2c3384a97881f8c9a59f67f37750_images.jpg,Accessories,Women,Bags
128,Handbags,Beige,Winter,Casual,Lino Perros Women Solid Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Solid-Beige-Handbaga2bece7b4b61ff9ff95ccc5956a4d584_images.jpg,Accessories,Women,Bags
129,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/ab8fcd7d3d414cc62d1852bc09363c71_images.jpg,Accessories,Women,Bags
130,Handbags,Brown,Winter,Casual,Lino Perros Women Leatherette Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/11878cd0cb199e7f2240e804bd9af458_images.jpg,Accessories,Women,Bags
131,Handbags,Black,Summer,Casual,Baggit Women Black Bag,http://assets.myntassets.com/v1/images/style/properties/50eb62a9c1db23489b9760f4f7735018_images.jpg,Accessories,Women,Bags
132,Handbags,White,Winter,Casual,Kiara Women Rosetti White Handbag,http://assets.myntassets.com/v1/images/style/properties/27ee6014708d4188dca05712738ec15e_images.jpg,Accessories,Women,Bags
133,Handbags,Brown,Winter,Casual,Lino Perros Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Brown-Handbag_613b44dfa827b91c5432b71867be76b5_images.jpg,Accessories,Women,Bags
134,Handbags,Red,Winter,Casual,Murcia Women Red Leatherite Handbag,http://assets.myntassets.com/v1/images/style/properties/901770fedf1b7835ec97f31920d20011_images.jpg,Accessories,Women,Bags
135,Handbags,Red,Winter,Casual,Lino Perros Women Solid Red Handbag,http://assets.myntassets.com/v1/images/style/properties/b557fa5fdf553091e713b85e8e91bba9_images.jpg,Accessories,Women,Bags
